district,avg_school_score,rank_school
"Camden County",74.4,1
"Union County ",72.86,2
"Haywood County",72.4,3
"Carteret County ",72.38,4
"Polk County",71.71,5
"Dare County ",71.3,6
"Yancey County ",70.67,7
"Watauga County ",70.67,7
"Davie County ",70.36,8
"Lincoln County ",69.48,9
"Wake County ",69.43,10
"Henderson County ",69.41,11
"New Hanover County ",68.89,12
"Burke County ",68.68,13
"Ashe County ",68.4,14
"Transylvania County ",67.5,15
"Avery County ",67.3,16
"Alleghany County ",67.25,17
"Stokes County ",66.95,18
"Macon County ",66.9,19
"Mitchell County ",66.83,20
"Caldwell County ",66.65,21
"Gates County ",66.6,22
"Yadkin County ",66.46,23
"Surry County ",66.37,24
"Catawba County ",66.31,25
"Cabarrus County ",65.72,26
"Cleveland County ",65.56,27
"Buncombe County ",65.23,28
"Davidson County ",65.18,29
"Moore County ",65.05,30
"Chatham County ",64.81,31
"Craven County ",64.52,32
"Johnston County ",64.43,33
"Currituck County ",64.4,34
"Cherokee County ",64.15,35
"Person County ",64.11,36
"Orange County ",64.08,37
"Clay County ",64,38
"Sampson County ",63.83,39
"Rutherford County ",63.59,40
"Alexander County ",63.3,41
"Stanly County ",63.25,42
"Onslow County ",63.21,43
"Jackson County ",62.25,44
"Forsyth County ",62.18,45
"Randolph County ",62,46
"Brunswick County ",61.61,47
"Wilkes County ",61.55,48
"Cumberland County ",61.47,49
"McDowell County ",61.42,50
"Graham County ",61.33,51
"Guilford County ",61.31,52
"Scotland County ",61.3,53
"Madison County ",61.29,54
"Swain County ",61.25,55
"Pender County ",60.5,56
"Beaufort County ",60.42,57
"Jones County ",59.17,58
"Franklin County ",59,59
"Pamlico County ",58.67,60
"Gaston County ",58.55,61
"Rockingham County ",58.54,62
"Perquimans County ",58,63
"Lee County ",57.85,64
"Wilson County ",57.45,65
"Caswell County ",55.67,66
"Pasquotank County ",55.45,67
"Montgomery County ",55.22,68
"Wayne County ",55.19,69
"Harnett County ",55.09,70
"Greene County ",55,71
"Richmond County ",54.86,72
"Lenoir County",54.79,73
"Granville County",54.55,74
"Hertford County",54.29,75
"Martin County",53.9,76
"Pitt County",53.35,77
"Duplin County",53,78
"Hoke County",52.85,79
"Tyrrell County",52.67,80
"Columbus County",51.94,81
"Bertie County",51.38,82
"Bladen County",51.15,83
"Warren County",51.13,84
"Hyde County",51,85
"Anson County",49.4,86
"Robeson County",47.51,87
"Edgecombe County",47.42,88
"Vance County",46.92,89
"Washington County",45.2,90
"Northampton County",42,91
"Halifax County",41.11,92
