RegionName,avg_price,median_income,afford_index,afford_rank
"Edgecombe County",84708,62100,1.36,1
"Washington County",87903.375,49500,1.78,2
"Halifax County",92559.625,45300,2.04,3
"Martin County",104261.375,49900,2.09,4
"Scotland County",101096.125,47900,2.11,5
"Richmond County",96710.5,45800,2.11,6
"Anson County",109029.125,51400,2.12,7
"Tyrrell County",112607.375,52100,2.16,8
"Bertie County",106655.125,48600,2.19,9
"Jones County",117434.25,52900,2.22,10
"Northampton County",101449.875,45100,2.25,11
"Robeson County",102380.25,44400,2.31,12
"Vance County",118805,50400,2.36,13
"Caswell County",148422.875,62100,2.39,14
"Lenoir County",122376,50000,2.45,15
"Stokes County",169259.125,68900,2.46,16
"Surry County",173093.25,69500,2.49,17
"Sampson County",128718.125,51400,2.5,18
"Greene County",136110.625,54200,2.51,19
"Duplin County",127371.375,50500,2.52,20
"Columbus County",129690.5,49000,2.65,21
"Wilson County",171790.375,64300,2.67,22
"Bladen County",124132.75,45000,2.76,23
"Yadkin County",190907.75,68900,2.77,24
"Person County",184440.125,65600,2.81,25
"Rockingham County",156150.75,55000,2.84,26
"Gates County",183790.5,64300,2.86,27
"Montgomery County",162910.25,55600,2.93,28
"Randolph County",201334.625,66700,3.02,29
"Cumberland County",180061,59600,3.02,30
"Caldwell County",183627.1429,60300,3.05,31
"Pasquotank County",196910.25,64500,3.05,32
"Warren County",163536.375,53300,3.07,33
"Beaufort County",190766.875,60200,3.17,34
"Nash County",200703.125,62100,3.23,35
"Wilkes County",185991.125,56400,3.3,36
"Hertford County",156133.75,47200,3.31,37
"Mitchell County",196780.75,59200,3.32,38
"Gaston County",284458.75,84200,3.38,39
"McDowell County",176346.375,52100,3.38,40
"Franklin County",323996.375,95700,3.39,41
"Burke County",205703.875,60300,3.41,42
"Johnston County",331649.5,95700,3.47,43
"Alexander County",209338,60300,3.47,44
"Lee County",214574.5,61000,3.52,45
"Pitt County",209698.375,59400,3.53,46
"Craven County",225265.125,63800,3.53,47
"Chowan County",187965,52800,3.56,48
"Forsyth County",245358.875,68900,3.56,49
"Hyde County",177887.375,49700,3.58,50
"Wayne County",184533,50500,3.65,51
"Rowan County",228211.25,62300,3.66,52
"Davie County",253093.75,68900,3.67,53
"Guilford County",246529.5,66700,3.7,54
"Cleveland County",204627,54800,3.73,55
"Alamance County",256915.375,68100,3.77,56
"Madison County",285370.125,75500,3.78,57
"Hoke County",212808.375,56300,3.78,58
"Pamlico County",230205.625,60800,3.79,59
"Granville County",262865.25,68600,3.83,60
"Onslow County",228830.875,59400,3.85,61
"Graham County",195551.125,50200,3.9,62
"Perquimans County",220144.125,56400,3.9,63
"Davidson County",225339.875,57500,3.92,64
"Cherokee County",214833.875,54300,3.96,65
"Harnett County",250559.875,63000,3.98,66
"Rutherford County",195994,48400,4.05,67
"Catawba County",250514.625,60300,4.15,68
"Cabarrus County",362040.125,84200,4.3,69
"Avery County",219833.5,50400,4.36,70
"Camden County",331124.125,75300,4.4,71
"Yancey County",251939.125,54600,4.61,72
"Ashe County",258473.875,55600,4.65,73
"Lincoln County",361590.75,77700,4.65,74
"Durham County",405027.875,86400,4.69,75
"Mecklenburg County",400857.125,84200,4.76,76
"Alleghany County",222488.75,46300,4.81,77
"Moore County",369032.125,76500,4.82,78
"Polk County",301010.625,62100,4.85,79
"New Hanover County",375450.625,76200,4.93,80
"Haywood County",326609.75,65600,4.98,81
"Swain County",237809.125,47700,4.99,82
"Brunswick County",386001.875,76900,5.02,83
"Wake County",481462.625,95700,5.03,84
"Iredell County",351409.5,69700,5.04,85
"Union County",433392.875,84200,5.15,86
"Henderson County",393770.25,75500,5.22,87
"Macon County",300777.25,57500,5.23,88
"Clay County",261881.25,49000,5.34,89
"Orange County",473653.625,86400,5.48,90
"Pender County",386771.875,70100,5.52,91
"Buncombe County",423191.25,75500,5.61,92
"Currituck County",473823,84500,5.61,93
"Jackson County",347883.875,61500,5.66,94
"Carteret County",407568.375,71200,5.72,95
"Transylvania County",343003.75,59100,5.8,96
"Chatham County",509549.125,86400,5.9,97
"Watauga County",455704.75,71400,6.38,98
"Dare County",553665.875,72200,7.67,99
