state,County,Year,"Crime Index",Population,"Crime Rate",crime_rank
NC,"Jones County",2016,25,9588,2.6074,1
NC,"Greene County",2016,56,21078,2.6568,2
NC,"Bladen County",2016,90,33638,2.6755,3
NC,"Mitchell County",2016,43,14996,2.8674,4
NC,"Nash County",2016,575,93953,6.1201,5
NC,"Camden County",2016,74,10397,7.1174,6
NC,"Yancey County",2016,127,17610,7.2118,7
NC,"Alleghany County",2016,101,10919,9.2499,8
NC,"Madison County",2016,215,21367,10.0622,9
NC,"Tyrrell County",2016,48,4024,11.9284,10
NC,"Perquimans County",2016,161,13402,12.0131,11
NC,"Ashe County",2016,328,26600,12.3308,12
NC,"Avery County",2016,245,17442,14.0466,13
NC,"Currituck County",2016,391,25640,15.2496,14
NC,"Davie County",2016,647,41921,15.4338,15
NC,"Watauga County",2016,858,54140,15.8478,16
NC,"Northampton County",2016,319,20127,15.8494,17
NC,"Swain County",2016,225,14190,15.8562,18
NC,"Transylvania County",2016,536,33393,16.0513,19
NC,"Washington County",2016,195,12070,16.1558,20
NC,"Polk County",2016,333,20414,16.3123,21
NC,"Pamlico County",2016,212,12765,16.6079,22
NC,"Moore County",2016,1606,95405,16.8335,23
NC,"Chatham County",2016,1223,69642,17.5612,24
NC,"Brunswick County",2016,2228,126304,17.64,25
NC,"Henderson County",2016,2142,113583,18.8585,26
NC,"Wilkes County",2016,1295,68581,18.8828,27
NC,"Person County",2016,753,39270,19.1749,28
NC,"Cleveland County",2016,1864,96960,19.2244,29
NC,"Lincoln County",2016,1564,81229,19.2542,30
NC,"Franklin County",2016,1263,64676,19.5281,31
NC,"Bertie County",2016,384,19423,19.7704,32
NC,"Caswell County",2016,454,22755,19.9517,33
NC,"Johnston County",2016,3884,190843,20.3518,34
NC,"Duplin County",2016,1219,59275,20.5652,35
NC,"Cabarrus County",2016,4148,201639,20.5714,36
NC,"Alexander County",2016,764,37133,20.5747,37
NC,"Yadkin County",2016,780,37653,20.7155,38
NC,"Wake County",2016,21818,1048335,20.812,39
NC,"Pender County",2016,1247,58771,21.2179,40
NC,"Warren County",2016,423,19884,21.2734,41
NC,"Orange County",2016,3133,142800,21.9398,42
NC,"Davidson County",2016,3616,164270,22.0125,43
NC,"Stanly County",2016,1350,60826,22.1945,44
NC,"Union County",2016,5039,226279,22.269,45
NC,"Stokes County",2016,1078,45920,23.4756,46
NC,"Graham County",2016,204,8531,23.9128,47
NC,"Montgomery County",2016,656,27301,24.0284,48
NC,"Hoke County",2016,1281,52981,24.1785,49
NC,"Burke County",2016,2164,89451,24.192,50
NC,"Sampson County",2016,1552,63225,24.5473,51
NC,"Lee County",2016,1469,59646,24.6286,52
NC,"Rowan County",2016,3445,139410,24.7113,53
NC,"Harnett County",2016,3270,130674,25.0241,54
NC,"Macon County",2016,862,34262,25.1591,55
NC,"Beaufort County",2016,1204,47369,25.4175,56
NC,"Chowan County",2016,369,14201,25.9841,57
NC,"Onslow County",2016,5052,192314,26.2695,58
NC,"Hertford County",2016,645,24209,26.643,59
NC,"Granville County",2016,1586,58684,27.0261,60
NC,"Jackson County",2016,1158,42622,27.1691,61
NC,"Alamance County",2016,4457,160283,27.8071,62
NC,"Craven County",2016,2855,102632,27.8178,63
NC,"Rutherford County",2016,1844,66286,27.8188,64
NC,"Anson County",2016,701,25165,27.8561,65
NC,"Clay County",2016,304,10749,28.2817,66
NC,"Buncombe County",2016,7230,254955,28.3579,67
NC,"Carteret County",2016,1981,68808,28.7903,68
NC,"Rockingham County",2016,2692,91308,29.4826,69
NC,"Randolph County",2016,4240,143062,29.6375,70
NC,"Catawba County",2016,4771,156448,30.4958,71
NC,"Surry County",2016,2199,72008,30.5383,72
NC,"Iredell County",2016,5278,172466,30.6031,73
NC,"McDowell County",2016,1388,44866,30.9366,74
NC,"Haywood County",2016,1900,60405,31.4543,75
NC,"Columbus County",2016,1814,56292,32.2248,76
NC,"Gaston County",2016,7014,216622,32.379,77
NC,"Caldwell County",2016,2663,81766,32.5685,78
NC,"Cherokee County",2016,920,27809,33.0828,79
NC,"Pasquotank County",2016,1311,39392,33.2809,80
NC,"Martin County",2016,776,23122,33.5611,81
NC,"Wayne County",2016,4342,124269,34.9403,82
NC,"Pitt County",2016,6197,177171,34.9775,83
NC,"Guilford County",2016,18542,524265,35.3676,84
NC,"New Hanover County",2016,8064,224809,35.8705,85
NC,"Wilson County",2016,2957,81307,36.3683,86
NC,"Halifax County",2016,2030,51815,39.1778,87
NC,"Lenoir County",2016,2337,57240,40.8281,88
NC,"Vance County",2016,1818,44485,40.8677,89
NC,"Dare County",2016,1471,35829,41.0561,90
NC,"Durham County",2016,13530,307826,43.9534,91
NC,"Mecklenburg County",2016,48296,1056901,45.6959,92
NC,"Scotland County",2016,1619,35309,45.8523,93
NC,"Cumberland County",2016,15467,333167,46.4242,94
NC,"Richmond County",2016,2156,45012,47.8983,95
NC,"Forsyth County",2016,18627,371260,50.1724,96
NC,"Robeson County",2016,7476,133383,56.0491,97
NC,"Edgecombe County",2016,3523,53283,66.1186,98
