area_name,year,value,unemployment_rank
"Orange County",2021,3.5,1
"Chatham County",2021,3.6,2
"Watauga County",2021,3.7,3
"Avery County",2021,3.9,4
"Camden County",2021,3.9,4
"Union County",2021,3.9,4
"Ashe County",2021,4,5
"Granville County",2021,4,5
"Wake County",2021,4,5
"Henderson County",2021,4.1,6
"Transylvania County",2021,4.1,6
"Greene County",2021,4.1,6
"Durham County",2021,4.1,6
"Lincoln County",2021,4.1,6
"Currituck County",2021,4.1,6
"Carteret County",2021,4.1,6
"Buncombe County",2021,4.2,7
"Stokes County",2021,4.2,7
"Pender County",2021,4.2,7
"Haywood County",2021,4.2,7
"Macon County",2021,4.2,7
"Alexander County",2021,4.2,7
"Yadkin County",2021,4.2,7
"Johnston County",2021,4.2,7
"New Hanover County",2021,4.2,7
"Jones County",2021,4.2,7
"Yancey County",2021,4.3,8
"Davie County",2021,4.3,8
"Pamlico County",2021,4.3,8
"Madison County",2021,4.3,8
"Gates County",2021,4.3,8
"Cabarrus County",2021,4.4,9
"Surry County",2021,4.4,9
"Stanly County",2021,4.4,9
"Duplin County",2021,4.4,9
"McDowell County",2021,4.5,10
"Sampson County",2021,4.5,10
"Burke County",2021,4.5,10
"Jackson County",2021,4.5,10
"Swain County",2021,4.5,10
"Davidson County",2021,4.5,10
"Iredell County",2021,4.6,11
"Moore County",2021,4.6,11
"Alleghany County",2021,4.6,11
"Polk County",2021,4.7,12
"Craven County",2021,4.7,12
"Wilkes County",2021,4.7,12
"Franklin County",2021,4.7,12
"Montgomery County",2021,4.7,12
"Randolph County",2021,4.7,12
"Catawba County",2021,4.7,12
"Beaufort County",2021,4.8,13
"Alamance County",2021,4.8,13
"Caldwell County",2021,4.9,14
"Clay County",2021,4.9,14
"Forsyth County",2021,4.9,14
"Mecklenburg County",2021,4.9,14
"Chowan County",2021,4.9,14
"Pitt County",2021,5,15
"Person County",2021,5,15
"Cherokee County",2021,5,15
"Wayne County",2021,5,15
"Lenoir County",2021,5,15
"Rowan County",2021,5,15
"Onslow County",2021,5.1,16
"Mitchell County",2021,5.1,16
"Gaston County",2021,5.2,17
"Perquimans County",2021,5.3,18
"Harnett County",2021,5.3,18
"Cleveland County",2021,5.3,18
"Caswell County",2021,5.3,18
"Pasquotank County",2021,5.4,19
"Lee County",2021,5.4,19
"Martin County",2021,5.5,20
"Rockingham County",2021,5.5,20
"Guilford County",2021,5.6,21
"Bladen County",2021,5.8,22
"Bertie County",2021,5.9,23
"Brunswick County",2021,6,24
"Dare County",2021,6,24
"Northampton County",2021,6.2,25
"Anson County",2021,6.3,26
"Nash County",2021,6.3,26
"Columbus County",2021,6.3,26
"Hoke County",2021,6.4,27
"Hyde County",2021,6.5,28
"Hertford County",2021,6.5,28
"Rutherford County",2021,6.5,28
"Wilson County",2021,6.7,29
"Washington County",2021,6.9,30
"Graham County",2021,6.9,30
"Cumberland County",2021,6.9,30
"Tyrrell County",2021,7,31
"Richmond County",2021,7.3,32
"Halifax County",2021,7.5,33
"Robeson County",2021,7.6,34
"Warren County",2021,7.7,35
"Vance County",2021,7.9,36
"Edgecombe County",2021,8.5,37
"Scotland County",2021,9.5,38
